CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,ZipCode,Country,DateOfBirth,null,Gender
1,Lisa,Medina,madisonsmith@yahoo.com,+1-028-350-3964x4052,"014 Cynthia Island Apt. 628
East Kyleton, NC 81778",Lake Sonialand,Ohio,41684,Afghanistan,1989-08-02,2022-03-11 00:00:00,Unknown
2,Michael,Cruz,martinezmichelle@gmail.com,001-632-218-2927x72196,"7721 Julie Ford Apt. 837
Markstad, DE 39102",Cruzmouth,Connecticut,61959,Ecuador,1973-04-26,,Female
3,Shirley,Kline,bruce06@gmail.com,(139)080-5979,"5790 Benjamin Cliff Suite 764
Phillipmouth, KY 32436",East Monica,Utah,34975,Marshall Islands,1983-10-07,2021-09-22 00:00:00,Female
4,Christopher,Warner,saraperez@martinez.com,+1-048-623-3515x9405,"107 Gonzalez Drive
West Kimberly, MS 77295",Port Maryside,Vermont,51058,France,1967-10-28,2021-07-10 00:00:00,Female
5,Carl,Henderson,jesus13@yahoo.com,8451954795,"362 Jerry Streets
New Christopherville, VT 08831",Unknown,Illinois,39576,Afghanistan,1990-12-22,2020-03-18 00:00:00,Male
6,Stephen,Bennett,mistyrodriguez@gmail.com,+1-824-706-2617x957,"8773 Paula Terrace
New Christy, RI 17558",New Taylor,Delaware,98651,Montenegro,2001-06-05,2023-06-13 00:00:00,Female
7,Jason,Dyer,adrienne06@stone.info,001-020-102-7491x1982,"3253 Wilkins Plaza
Boyerton, NV 90726",New Aliciafurt,Illinois,47126,Jordan,1991-12-12,2024-04-05 00:00:00,Male
8,Allison,Baldwin,plarsen@rivera.info,026.732.3827x484,"2895 Amy Plaza Suite 329
Lake Austinmouth, HI 23232",New Teresa,North Dakota,33052,Ghana,1969-12-13,2023-03-14 00:00:00,Female
9,Steven,Wilson,rachelwilliams@yahoo.com,+1-203-585-6223x4108,"01966 Stanton Canyon Apt. 456
New Diane, PA 26631",Mooreborough,Massachusetts,20231,United Arab Emirates,1997-11-19,2024-02-12 00:00:00,Female
10,Logan,Chang,pettykaitlin@vasquez.com,001-421-992-8920x09515,"42167 Prince Mountains Suite 086
Lisaside, IN 04586",North Shawn,Indiana,6423,Northern Mariana Islands,2000-02-03,2021-11-01 00:00:00,Male
12,Unknown,Roy,dsmith@west.com,631.096.3904,"419 Hughes Road
West Jeremy, IN 92973",Snyderborough,Pennsylvania,8318,Macao,1994-03-28,2022-12-24 00:00:00,Male
13,Philip,Calhoun,desiree23@ramirez-rojas.com,(439)499-1319,"PSC 3972, Box 7349
APO AP 74408",Coleberg,Rhode Island,73646,Costa Rica,1968-06-14,2023-02-09 00:00:00,Female
14,Thomas,Bishop,walkercatherine@brown-barrett.net,375-350-9478,"874 Hoover Mountains
South Roseton, OR 07878",Karinamouth,Arkansas,46658,Lesotho,1996-05-08,2022-08-19 00:00:00,Male
15,Marie,Norman,jonesscott@yahoo.com,001-713-045-8417x8787,"PSC 8445, Box 7181
APO AP 24524",Danielville,Alabama,88058,Cote d'Ivoire,2002-10-13,2021-04-20 00:00:00,Female
16,Alexis,Marsh,melissaacosta@yahoo.com,983.067.8645x599,"Unit 6231 Box 6016
DPO AA 16511",New Caitlinbury,North Carolina,23771,Samoa,1953-01-10,2023-01-26 00:00:00,Female
17,Charles,Garcia,sullivanjoseph@keith.net,001-577-266-4977x7109,"22702 Martinez Roads Apt. 230
Davidfurt, VT 29804",South James,New York,16878,Liberia,1973-10-10,2024-04-30 00:00:00,Female
18,Ryan,Pearson,christopherwalker@gmail.com,864-534-1038x722,"28897 Williams Passage
Tracyton, GA 15003",Mendozashire,Delaware,27979,Rwanda,1956-12-17,2021-08-29 00:00:00,Male
19,Anita,Douglas,acevedoandrea@alvarado.org,(336)347-0112x168,"756 Cabrera Prairie
Lake Jennifer, OR 97609",Lake Yeseniashire,Wyoming,61751,Panama,1979-08-07,2021-11-27 00:00:00,Male
20,Edward,Mcmillan,sanchezrobert@hotmail.com,007.844.7792x9276,"356 Bryant Ridge
South Kristinfort, MS 99678",South Elizabeth,Alaska,38066,Nicaragua,1965-03-29,2024-06-08 00:00:00,Female
21,Samantha,Elliott,brett24@yahoo.com,001-313-182-7841x76344,"8415 Vance Freeway Apt. 763
Ashleyside, OK 57170",Jenniferchester,Alabama,88099,American Samoa,1999-02-13,2024-03-01 00:00:00,Male
22,Dawn,Rodriguez,michael77@cox.com,+1-709-876-4625,"64746 Brown Villages
Port Garystad, AZ 78462",Lake Alisha,Massachusetts,19115,Niue,1953-03-18,2022-11-27 00:00:00,Male
23,Ethan,Tucker,ghawkins@pierce.com,+1-745-413-0172x87832,"17618 Rowe Parkway
West Davidland, ID 67979",North Joseport,Texas,18340,Tunisia,1994-09-11,2022-12-30 00:00:00,Female
24,Anthony,Bailey,morenodeanna@fischer-santos.com,2558173319,"80167 Le Ridges Suite 519
East Aaron, NM 30594",Rebeccahaven,California,65933,Ukraine,1956-01-14,2024-06-27 00:00:00,Male
25,Christine,Brown,aliciawilliams@johnson.com,179.028.7372x29982,"PSC 2504, Box 4874
APO AA 12748",Jonathanbury,Mississippi,78880,Sierra Leone,1976-04-01,2021-01-24 00:00:00,Male
26,Brandon,Brown,chenian@johnson.com,(520)767-8591x057,"754 Kelly River
Margaretton, RI 63647",Port Annafort,Rhode Island,9245,Philippines,1995-09-11,2021-10-02 00:00:00,Female
27,David,Rogers,joshua20@gamble.net,592.930.4054,"94523 Angela Islands Suite 091
Port Sally, UT 47314",Port Michelle,Oklahoma,71025,Korea,1951-10-20,2020-06-21 00:00:00,Male
28,Ryan,Reyes,dthompson@hotmail.com,262-696-0199x59615,"61051 Jason Port Apt. 784
Johnsonfort, CA 96733",Benitezshire,New Hampshire,25233,Norfolk Island,1983-05-17,2020-08-11 00:00:00,Female
29,Michele,Rodriguez,igreene@schaefer.info,774.371.4462,"4865 Nicole Cape
Carolynland, NM 26061",East Bradley,Nevada,37366,Hungary,1997-02-20,2022-09-13 00:00:00,Female
30,Margaret,Boone,marvinrhodes@brown-aguirre.com,(848)429-6299,"191 Foster Lakes Apt. 801
East Toniton, MO 36751",Lake Julia,Utah,66869,Colombia,1951-09-07,2021-11-27 00:00:00,Male
31,William,Barnes,dennisconnie@hotmail.com,381.581.6670x8395,"PSC 3169, Box 8492
APO AP 48640",Lake Tony,Michigan,31205,Sierra Leone,1953-01-11,2020-11-20 00:00:00,Female
32,Matthew,Barnes,hernandezsarah@brooks.info,005.099.8449x6101,"4680 Kirk Walks
West Jenniferchester, MI 47213",East Edwardton,Iowa,10506,Iceland,1978-05-27,2023-04-22 00:00:00,Female
33,Julie,Peterson,vperkins@yahoo.com,021.031.5595x5459,"49699 Powell Fall Apt. 661
New Shannon, FL 98503",Watersbury,Indiana,46783,Kyrgyz Republic,1992-07-20,2021-04-08 00:00:00,Female
34,Erin,Sanchez,stephen41@gmail.com,+1-802-634-3529,"1633 Jones Greens Suite 637
South Jonathanmouth, DC 93659",Stacybury,Louisiana,31190,Japan,1994-08-20,2023-06-14 00:00:00,Male
35,Ryan,Burgess,raymond67@watts-lane.org,162-854-0579,"953 Mario Isle
East Erik, CO 25771",Antoniostad,Alabama,62625,Belgium,1982-12-08,2022-12-19 00:00:00,Female
36,Barry,Logan,brownmary@gmail.com,(304)613-4505x42333,"038 Contreras Centers Suite 590
North Ginaville, AZ 12153",East Alejandro,Missouri,64062,Jersey,1955-07-24,2020-06-25 00:00:00,Male
37,Robert,Black,william38@anderson-buchanan.org,001-819-003-0087x4517,"91951 Richmond Plain
Lake Scottside, CO 22560",East Edward,Alabama,72143,Cote d'Ivoire,1974-03-07,2021-10-12 00:00:00,Male
38,Sherry,Callahan,rbarker@yahoo.com,+1-352-968-9737,"Unit 8453 Box 3784
DPO AE 70707",North Alishaburgh,Wisconsin,68493,Monaco,1958-02-21,2020-02-03 00:00:00,Male
39,Jeremiah,Hall,vshaw@gmail.com,+1-141-359-5530x7324,"Unit 0135 Box 3557
DPO AE 19865",West Adrianshire,Pennsylvania,48098,Georgia,1950-04-09,2021-06-02 00:00:00,Male
40,Charles,Bridges,edwinjohnston@may.com,+1-715-068-1042,"43286 Morton Club Suite 886
North Richardmouth, MI 08800",Nicholasville,South Carolina,29228,Suriname,2002-06-08,2022-12-22 00:00:00,Female
41,Charles,Cooper,tzimmerman@mcguire.com,767-869-9745x281,"471 Velasquez Extension
East Davidmouth, AZ 46260",North Jamesbury,Ohio,15661,Maldives,1972-12-31,2020-09-17 00:00:00,Male
42,Ashley,Lewis,johnsonbrenda@wong.com,043.552.2231x1752,"5817 Darrell Locks Apt. 894
New Michaelmouth, CT 45140",Steventon,Nevada,52209,Turks and Caicos Islands,1999-06-22,2020-05-14 00:00:00,Female
43,Kristen,Campos,dylan08@scott.biz,(405)197-4883x4844,"865 Julie Streets Apt. 242
Keithfort, AL 75822",Griffinstad,Texas,70572,Vanuatu,1949-06-15,2022-07-17 00:00:00,Female
44,Christopher,Adams,gsingh@singleton-hill.info,+1-844-800-4214x2330,"29656 Vasquez Extensions Suite 183
Chelseaview, LA 13512",Antonioborough,Virginia,10786,Thailand,1956-10-05,2021-03-29 00:00:00,Female
45,Daniel,Andrade,ygibson@galloway.com,610.645.0046,"5050 Brett Stravenue
Abigailport, ME 08587",Morrisville,Wyoming,99637,Luxembourg,1984-02-18,2022-01-04 00:00:00,Male
46,Sandra,Gibson,ronald30@hotmail.com,001-628-326-6479,"363 Sheryl Gardens Apt. 489
Greenbury, VT 06060",New Elizabethport,Nebraska,87488,Cameroon,1969-04-08,2022-10-16 00:00:00,Female
47,Joseph,Allen,apaul@gmail.com,+1-958-480-5102x3942,"63219 Christopher Square Apt. 979
Mortontown, VA 63920",East Marie,Iowa,54923,Ethiopia,1952-12-06,2020-10-11 00:00:00,Female
48,Summer,Lin,saracruz@buckley-haynes.biz,394.230.9694x7736,"947 Charles Summit Suite 465
Gileschester, MS 04398",Hernandezmouth,Nevada,15360,Iceland,1994-09-26,2020-05-15 00:00:00,Male
49,David,Cox,cbender@burke.org,+1-295-670-9732x6085,"57598 Wolf Cliffs Suite 643
Port Joyce, AK 51528",East Laurabury,Florida,55432,Saint Barthelemy,2000-12-25,2023-07-25 00:00:00,Male
50,Robin,Stout,jenniferhardin@morrison-haas.com,8924269715,"04189 Molina Junction
Ricehaven, ME 08249",Jordanbury,Michigan,76625,Hungary,1991-11-22,2020-05-19 00:00:00,Female
